Sentences	label
本来快瘫痪的系统，又被外界的新系统插了一杠。	2
架不住一通狂轰滥炸，不记得如何下的酒楼。	1
一岁岁的大了，一件件的事多了，一桩桩的责任重了，一份份应酬烦了，耐心少了，热情低了，麻木了，厌倦了，甚至沉迷，甚至折磨，甚至绝望。	2
其实也简单，就是问问那些名人们，他们眼里的品质生活是什么样的。	0
或许吹完集结号后，冯大导演的贺岁片细胞死了不少，非诚勿扰怎么看怎么像临终遗言。	1
我偷偷地笑。	0
累死我了！	2
一地冰凉的残渣，青白锐利，像他的爱，惨烈到体无完肤。	1
你没有很多钱，也没有什么身份。	2
是因为缺乏安全感的缘故吗？	2
我要像蒸发体内多余的水分一样，将静留给我的这份不算完整的情感经历随着日子一天天的过去慢慢地从大脑里蒸发掉。	1
离开爸妈，来到这座城市已有６年的光阴了，期间发生了太多的事，求学，认识了很爱我的焱，并也通过了爸妈的同意，一路走来，虽有波折，毕竟也是有了令人称羡的结果，可是今天我怎么就一下子。	2
你们是否想过，这会让孩子们如何去看大人看社会？	2
偶尔，会在与时光的对抗中成为看客，直到最后一刻才发现，光阴的那头，主角竟然是自己。	1
夜色降临，灰姑娘变成了美丽的公主，丑陋的青蛙也变成王子，他们尽情的跳舞。	0
早上上班的时候，立刻就感受到了这刺骨的寒风。	2
似乎在暗示，这个城市根本不属于我。	1
这个时候你走入了一个使你走向迷离的状态，你会问自己：这是为什么？	2
我仿佛掉入了无法自拔的陷阱，内心的呐喊，没有人能听到。	1
那天六一的早晨，母亲像往常一样，起得很早，给我们准备一天的吃喝。	5
我想，也许是良心的谴责让她无法再面对活下来的学生；我想，也许是职业的责任让她无颜再走进新建的教学楼：所以，她才随她的学生离去，并将此做为她的忏悔吧！	1
偷听人们全体大哗，脚下的垃圾桶都踢倒了几个。	3
我能看到我的手，但是不能看到其他的东西，我就是在一片黑暗之中。	2
谁理你呢。	2
一大一小，各居南北。	5
接下来，就是重要的会议，主要是学习地震自救常识。	5
梦中，我好像忽然醒过来，外婆不是已经去天堂了吗？	3
为何都是在春天开始心中无尽的向往，漫长夏日的等待之后，满目的秋叶凋零，不能收获理想时，便在寒冷的冬日沉沉睡去，期待下一个轮回？	2
是不是也觉得很伟大？	2
在屋里搜寻一周，没有发现好吃的东西，不甘心，找遍各个角落，终于在案板下面发现一块糠萝卜，切开，每人一块，有滋有味地吃起来。	0
感觉日本的公共设施建设是下过血本的，除了地铁线路的建设之外，从一些细节也能看得出来。	0
她长高了６厘米。	5
大街小巷那些行色匆匆的人群，大包小包的年货，大袋小袋的礼品，我有些不知所措。	2
也许不该有太多的思念和回忆，总是觉得，人不应该生活在回忆里。	1
但后来的事实，并未能够如愿。	1
问她为何如此刻苦，她说话怯怯的，小声道：“我家成份高，是地主，只有本事是自己的，别的都比不了人。	5
当时，有个和我一起进医院的小男孩是吃馒头中毒，他没有被救活，而我却有了生存的希望。	0
但是，在情况没查清的时候，我们立即回收了这个城市的所有酸奶，一共３０吨，统统销毁！	0
那时只有成为那些勇于在崎岖的捷径上，拥着坚韧和自信精神的成功者的观众了。	1
他是小宋的孩子己经读五年级了，离家有好几里路，一直是父亲接送。	5
婚前，男人都是父母在照应他的起居，婚后就有妻子继承了。	2
——归根结底，还是源自他们对自己失去信心。	2
可惜如今经济不景气，就业都成问题，大家也都只好捂紧自己的钱包，能省则省吧。	2
常常都会在病人面前失去护士形象的大笑！	0
这样的困惑，会造成离婚率的直线上升。	2
据目击者说，当时店长的眼睛里噙着泪水。	1
他们在结婚前和Ｊａｃｋｓｏｎ　Ｌａｂｏｒａｔｏｒｙ的工作时面临究竟是每个人拥有自己的实验室并相互竞争、还是彼此合作的抉择。	2
正常的位子都是给了要上一年级的哥哥姐姐们。	5
可能最近是比较倒霉，只是不知道有没有到最倒霉的时候，前几天是想弄死一只老鼠，结果是几乎把厨房都毁了，差点也把自己也摔个四脚朝天，然后才罢休的。	1
做完体操后，她要回去。	5
中外哲人都认为，同情是人与兽的区别的开端，是人类全部道德的基础。	5
忍耐是需要毅力的。	2
但还有比恶劣的天气更让人寒心的，看新浪新闻，一则消息说北川县政府巨额资金购买豪华越野车引发质疑。	2
看着从指缝中流淌的时间，太多的习惯已改变，太多的情感在沉淀，太多的渴望终落空，太多的梦想未实现。	1
其实那一代人，当他们将梦想和憧憬与“知识青年到农村去接受再教育”结合，有些无助无奈的在农村“扎根”之后，“爱情”两个字，就不仅仅只是爱情那么单纯的事情了。	1
忙碌的事情太多，总是无法让心沉淀下来，认真的去敲打一些东西。	2
莽莽撞撞的流离他乡。	2
她只换得他口头的一个承诺，但实际看来根本不打算遵守。	2
还是按每天的习惯进屋头件事情，先打开电脑听音乐，可是今天的心情总也放松不下。	1
更多的都是因为发现我没有能力再帮下去以后开始疏远我。	1
我没有你们想像的高尚和伟大。	1
长发挽起意中人，嫁作他人妇。	1
无冥的夜，你总是说：如果我们能在一起，会不会一直相爱，那会是多远，一辈子吗？	2
每个人也不可能就凭借一时的感受而活着，最后都要为这样即时消费而埋单。	5
再次，在青少年接受教育的过程中，忽视了社会环境教育和开展自我教育。	2
有朋友问，中秋怎么过？	5
”老太太又拱了一下嘴，象是硬要操纵她的牙口，在我面前不时地伸出舌苔，那舌苔里面是黑咕龙咚的。	2
我当时心里就“咯噔”一下，摇摇头说：“没有。	2
她们愣是觉得外面的男人这么多，为什么我只能跟一个男人谈恋爱？	1
你在她那能得到很多在我这没有的东西。	1
倘若真是这样的话，我愿意一直牵着她的左手，勾着她的无名指，直到永远。	5
走遍山山水水找到自己想做又擅长的事，自觉幸运。	0
想想时间过的不算慢吧。	5
我们为什么要统计和公布这样的数据？	3
我可以用六年来经营一场感情，最后却烟消云散，而用了六十天选了一个要与我度过余生的人。	1
那时的我不是没有这种想法，可每次一想到父亲严厉的告诫，刚萌发出的冲动瞬间也就消失了。	2
为什么你就不能等着妈妈喊你一声“宝贝儿”？	2
虽然他家人说他水性不错，但在这个寒冷的冬天，他最终未能逃过这一劫。	1
来自五湖四海的朋友大多数会留在这个繁华似锦的城市欢喜渡过新春佳节。	0
２００８年８月２４日晚７时２０分，当代诗人，著名散文作家、小说家魏巍在北京３０１医院去世，享年８８岁。	5
它总是默默地问我：为什么你总是独自一人？	2
忘了什么时候认识的你。	5
那一刻，我感受到了爱，我们这个人间有爱，我们这个国家充满爱。	0
这才是引起全世界媒体关心的原因。	5
本周已进入春节前的最后一个周末，学生流、民工流、探亲流高度叠加，民航、铁路等旅客出行人数再次刷新纪录，天气状况也受到越来越多公众关注。	2
一之汤旅馆是家老店铺子，创业３７０年。	5
却也会执着如你，固执如我。	1
在梦里，在梦里依稀见过你的容颜。	1
本来老公说，将来不用担心嫁妆的事，他会把私房钱拿给我撑面子的，现在老公都负债了，我只能靠自己了，心里也更有成就感一些。	0
我出了教室的门，来到二班找我的同学，我看看没人就回到教室里来。	1
或许是太熟悉了吧？	2
首先，得给猫起名，叫什么好呢？	2
一切又如常，只是多了些寂寞，多了些忧伤。	2
为什么用伤害的方式来爱我？	4
父亲的眼里布满了血丝，我知道父亲是一夜无眠呀！	2
我已经很努力控制，但有些事情依然对我来说，无法忍受。	2
想闹的时候，可以对你发着小脾气。	0
结果在一个小店里，我不小心碰到一个罐子的盖子，掉在地上了，掉了两块漆，被逼着陪了钱。	4
出门时，担心他的车船安全，夜行时，担心他碰到沟沟坎坎，担心他不开心，担心他生病，担心他吃不饱，担心他穿不暖，担心他的工作，担心他的……你的心不在属于你，你将心交给了由你缔造的这个生命，终其一生。	2
元春在省亲时很伤感，觉得小家小户的尚可享受天伦之乐，而贵为妃子时，这一点会面也是极其难得了。	1
但那种自由漂泊的快乐与豪情怎敌得住漫漫长夜里浓浓离愁的浸蚀？	1
断断续续下了几天的雨，今晨起来，居然有一束阳光，穿过房间的玻璃窗和窗台上的一大盆芦荟，照在我的手上，留下一块亮亮的、真实的光斑。	5
为了守着一个虚幻的梦，为了等着一个没有结果的爱情，是你自愿的，又怪得了谁？	1
图什么呢？	1
当女孩子在出嫁的瞬间，她说出了她心底的话：“对不起，我不能嫁给你，我的心，早在十年前就嫁给了另一个人，虽然他把我丢下……”	1
总之，我们心里一直都有一种上当受骗的感觉。	4
现在，家中一切恢复了平静，但是震中区的好多人生死未仆，还有很多人失去了生命，我们的国宝－－熊猫，也不知怎么样了。	2
圣诞节前夜是平安夜，老公还记得给孩子买了礼物，我说无所谓吧，崇洋媚外！	4
我丢掉了爱情。	1
谁又来顾惜萍的孤苦伶仃呢？	4
“听鹂馆饭庄”供应的是宫廷口味的菜色。	5
老百姓要的是娱乐，老百姓可以担待自娱自乐中的假冒伪劣。	0
当时好像上课的时候很流行抄歌词，张信哲、无印良品、张学友、刘德华。	5
这应该是个收获的季节，满脸笑容而不是一脸沮丧，你说是不是？	0
这样的男人，他决不会去讨好一个陌生女人或者一些女同事，他认为爱情没有生活重要。	2
今天唱了美丽心情，高音部分还是有点吃力。	2
所以，我们需要工作，我们需要金钱，我们需要忘记自己，忘记理想，执迷不悟的去走向一条灰暗的道路。	2
如果我们的社会中的人们，真正的对地爱情都是那么的坚守，对自己的爱人都是那么的珍爱，这样的故事不也就不再那么稀奇了。	1
这位店长被逼无奈，只得当众吃下带有虫子的馄饨。	1
想想心里就有隐隐的痛。	1
花钱过新年，对他们而言，绝对不是件心痛的事情。	0
你身边肯定是美女如云吧？	1
虽然我们知道蜜蜂是益虫，却常常无意间伤害了她们。	1
这里很少看见阳光，不知道是一天的什么时候会有一屡阳光照进来，找在对面山上的顶端，那里开的全是白色的小花，连成一片，在阳光的照耀下，能看见一条条光环，能看见一条条彩虹，可我知道我永远的到不到那里。	1
区别的仅仅是，平常没气氛，过年有气氛而已。	2
如：萍儿来自东北，可是见过萍儿的人却没有一个人相信。	3
因为我们相信我们的身后有一个强大的祖国。	0
比如，食品不用讨价还价，衣服不用讨价还价，虽然买家具和买汽车时，会有很大的讨价空间，但这两件东西都不是日常消费品，即使是需要讨价还价，讨价次数也有限。	5
伪君子们的人情观也抚育了那美好的真情的存在，那是对比的美。	0
她的离开，就像一阵风一样消失的无影无踪！	1
是什么事情让你遗忘了对我的深切问候？	2
在一旁的我们为了她的作业如期做完，不断催促，而且由于女儿做作业有时欠佳，做家长很难做到心平气和，自然有时不可避免要责怪她，甚至打骂她。	2
对于情感之爱，也就是男女之情感之爱，就不可能有多方面的施展爱了，因为爱是独占的，不能独享那就是没有爱，因为博爱不存在爱情之中，也承受不了爱情之重的！	1
去年晋了中高，至今心怀喜悦。	0
有一天，她对我说：“我们一起去找五瓣丁香花吧。	5
坐在电脑面前，手指放在键盘上，想写些什么，却不知从何写起；想说些什么，也不知道倒底要说什么，好像想写的太多，想说的太多，也许是太多了，所以就不知道怎么写，怎么说了。	2
不过这样的形式让大家异常的恐慌。	2
”我为自己辩解。	2
２００３年，欧洲最大的保险公司ＤＫＶ发表了一份世界范围内地震危险系数最高的国家一览表，其中东京获７１０分，居首位，第二位是美国的旧金山，所获分数比东京差了１６７分。	2
不知道此刻的你在哪里，只知道在那个遥远的城市。	2
所做的一切，这时候都觉得是值得的。	0
如果不是最近这两起事件，我都不知道，原来我们的生活早就贫乏得只剩下电视了。	1
再也找不到你的肩，让我依靠。	2
即使依然是每天朝九晚五，规律上班，但也大都是心猿意马，于痛苦中坚持，不快乐，不惬意。	2
可是去年冬季的一天，与妻子从商场回来才发现这件衣服后面底边上被锐器划出了两个一寸多长的口子。	2
高考大纲不改、教育思想不改，怎么能真正改变？	2
“谢谢关心，我还在继续努力祸害人间”。	0
也就是说，“法大门”的导演组，不知道一个浅显的道理，组织总是比个人更容易丢人。	1
他们缺少的无非是一纸文凭、一张教师资格证、一个机会甚至一个“后门”。	1
只有我知道那都是发自肺腑的话，只有我知道其中的心酸。	1
难道是贩菜的商人？	2
听老师讲，那槐树已有百年的历史了。	5
人生最大的悲哀不是仇与恨，也不是生与死，而是人与人相遇时的擦肩而过！	1
最近有点无聊，每天都泡在淘宝上，漫无目的的找啊找，还好也没花什么钱，因为到现在还没成交任何一样东西。	1
在互联网上也是一个道理，作为休息和好奇固然可以东走西逛，逮着什么溜达一番，尤其喜欢瞅热闹花哨的瞧瞧，也算是调整眼球的一种方式。	0
如果这就是给我的惊喜的话，还太早了。	0
此外，在赤壁之战中，曹操在战术上也犯有严重的错误，说到底就是没有将自己的优势发挥出来。	2
古人说：女子以色事人，色松爱驰。	2
终于摆脱了做中间人的为难局面。	0
但是，从小家里教导不要乱在外面吃东西，不要乱在同学家吃东西，他们不是回民，因为餐具，厨具，各种可能性。	2
（新华网　７月１８日）	5
所以，我想，其实，于元旦，于年，表面繁华，脸上堆满笑，喧闹的背后，我的心底仍有伤感涌上来。	2
假如是真实的，那也只是一种错误的浪漫，错过了自己的青春年华，错过了一生的幸福，带给你的只有那些美好的记忆和漫长的孤独和寂寞。	2
时下，不少网络游戏吸引了青少年玩耍。	5
结果是２２万也没有了不说，还弄得一家人不得安宁，本该享受富人的生活，却进了大牢。	1
怨过他的冷漠，但我知道他并非真的无情。	1
媒体行为节制者，社会大众也。	5
生活就在等待中点点滴滴的消磨光了，留下的只是岁月的残壳，凄凉。	2
你们把我弄哪儿去了？	4
也就是说，相当一部分政府部门的电脑在微软的正版验证范围之内。	2
或许，今夜寂寞如烟花，瞬间的绚丽过后不再重复。	1
对此，笔者以为，我们与其咒骂教师的“居心不良”，不如去谴责一下学校以及相关部门的考核制度。	4
因为我可以不用再什么事情都去依靠爸妈了。	0
一个少女遭歹徒污辱，恶徒近在眼前，却逍遥法外。	1
爱情，对于任性的孩子来说，就像抱着心爱的刺猬，明知会有痛楚，有伤害，还是执意不放。	1
几个朋友皆为大我许多的重量级人物，等我急匆赶到时，他们早已品半天了。	2
今天的路面上人格外的少，我和出租车司机开玩笑的说，人都冻的今天大部分请假了，才过了一个温暖的周末就面临这么大的落差真是很难承受呢。	2
最后一棒，谜底终于揭晓，带着荣耀之旅，手擎祥云，李宁缓缓而起，夸父逐日，踏着七彩祥云，奔跑着，身后一幅画卷展开，圣火点燃，全场为之沸腾。	0
他们将这些叫做情感世界的成熟，岂不知到头来也就使这些成熟的人们，就会毫无例外的被感情世界的原则打得粉碎，被大家统统给于一个雅号：情感的犹大。	1
将自己闷在房间，翻江倒海地想，却也没有想出自己有过什么艳遇。	2
夜返京城。	5
错过的时光不在。	2
在中国，只有长江发现中华鲟。	5
看着离去的她的背影，看着落地在水中她写的那一堆日记，看着丢弃在雨中我送给她的小红伞，我才深深的懂得了要想白头到老有多难。	2
国人团结一致的气魄，更是让我对中国充满了信心。	0
面对孩子，我无法找到一种明确的说法，只能先空着这道题不做，等着让孩子的老师来纠正了，一字之差却让我犯了难。	2
对于大富和大贵，基本能做到不羡慕。	0
生命本需要凝视与倾听，凝视朝来暮去，看兴亡多少事；倾听物语人声，思聚散岂无凭！	1
我原想这下可以轻松一下了，直等着过关拿证了，可等到了车上，上了路才知道有多难、多恐惧！	2
在火炬传递的路线上，无数的华人陪跑，保护圣火。	0
也难怪那些作者们了，因为他们在上架之前，就已经牺牲了很多章节，等上架之后，就不得不写些色情文字来充数，收多一点点ＶＩＰ稿酬了。	4
爱情在婚姻中究竟有多重要？	2
哭，闹可是到此刻一切都无济于事，变只是一个瞬间，一句话就抹掉了我们５年多的感情。	2
现在的家，不是以前的家了，大家一天２４小时，没有５个小时是在家的，逃避的逃避，叛逆的叛逆，看着妈妈忙里忙外，没有几个小时是休息的，而哥哥和妹妹却一直游离。	2
以中国留学生为例，与八九十年代的留学生所不同的，如今的许多中国留学生年纪偏低，大多在二十三四岁以下，他们的心理还没有完全成熟。	2
听着老太太刚才说的场景，真不知所措，叫她告诉我详情好还是不好呢？	2
便是落雨，也有一番心事。	1
平平安安、平平静静、平平淡淡、平平凡凡的又混过了一年。	2
而每每得到的结果总是让我比较失望，因为如果这些事情发生在荣丽娟身上她总能用那副好脾气和温柔化解掉。	1
但是也有可能，在若干年后我们会产生疑惑，我们最近距离的接近了奥运，可奥运并没有进入我们的生活，改变我们的生活。	2
生活中有多少蓝颜、红颜，最后却导致了爱情的悲剧。	2
一诺那个女人打来电话，说她刚分手的男朋友发来短信要求重新开始。	2
从时间上来讲这和青春期的到来有着不可磨灭的关系。	2
如果一切只是如果，焚烧与毁灭是不是最好的解脱。	2
好像当时也没事，可能风一吹，失忆了，肯定是没事儿。	1
今天就给他编一个“心愿树”的故事吧。	5
这几天跟小允的好朋友聊了，很轻松的样子！	0
甚至是如果我们都死去，不留一丝痕迹。	1
大学的纯真让我们畅所欲言任何话题，不管任何节日仍然背着书包去复习功课，排队加塞买水煎包和油泼面，边考试边忘这门课程，伴随我的永远都是同窗的哥们们，是我生命中挥不去的快乐。	0
大家穿着“马甲”来来往往，夸人和被人夸的成本都比现实中要低。	1
从不知，这个季节注定了处处是别离。	2
有些情感改变了。	2
一切事物都会按照自己的轨道正常运行，只是我们不清楚我们脚下这条隐形的轨道一时间到底伸向何方，	0
我才发现，当乌云笼罩双眼，城市的天空便不再湛蓝。	1
我们配合得非常好，每支歌都在９０分以上，直到楼上的老太太派了保安来敲门。	0
